ScanNumber	ScanTypeName	ScanType
1026	CID-MSn	2
1027	HMS	1
1028	CID-MSn	2
1029	CID-MSn	2
1030	CID-MSn	2
1031	CID-MSn	2
1032	CID-MSn	2
1033	CID-MSn	2
1034	CID-MSn	2
1035	CID-MSn	2
1036	CID-MSn	2
1037	CID-MSn	2
1038	HMS	1
1039	CID-MSn	2
1040	CID-MSn	2
1041	CID-MSn	2
1042	CID-MSn	2
1043	CID-MSn	2
1044	CID-MSn	2
1045	CID-MSn	2
1046	CID-MSn	2
1047	CID-MSn	2
1048	CID-MSn	2
1049	HMS	1
1050	CID-MSn	2
1051	CID-MSn	2
1052	CID-MSn	2
1053	CID-MSn	2
1054	CID-MSn	2
1055	CID-MSn	2
1056	CID-MSn	2
1057	CID-MSn	2
1058	CID-MSn	2
1059	CID-MSn	2
1060	HMS	1
1061	CID-MSn	2
1062	CID-MSn	2
1063	CID-MSn	2
1064	CID-MSn	2
1065	CID-MSn	2
1066	CID-MSn	2
1067	CID-MSn	2
1068	CID-MSn	2
1069	CID-MSn	2
1070	CID-MSn	2
1071	HMS	1
1072	CID-MSn	2
1073	CID-MSn	2
1074	CID-MSn	2
1075	CID-MSn	2
1076	CID-MSn	2
1077	CID-MSn	2
1078	CID-MSn	2
1079	CID-MSn	2
1080	CID-MSn	2
1081	CID-MSn	2
1082	HMS	1
1083	CID-MSn	2
1084	CID-MSn	2
1085	CID-MSn	2
1086	CID-MSn	2
1087	CID-MSn	2
1088	CID-MSn	2
1089	CID-MSn	2
1090	CID-MSn	2
1091	CID-MSn	2
1092	CID-MSn	2
1093	HMS	1
1094	CID-MSn	2
1095	CID-MSn	2
1096	CID-MSn	2
1097	CID-MSn	2
1098	CID-MSn	2
1099	CID-MSn	2
1100	CID-MSn	2
1101	CID-MSn	2
1102	CID-MSn	2
1103	CID-MSn	2
1104	HMS	1
1105	CID-MSn	2
1106	CID-MSn	2
1107	CID-MSn	2
1108	CID-MSn	2
1109	CID-MSn	2
1110	CID-MSn	2
1111	CID-MSn	2
1112	CID-MSn	2
1113	CID-MSn	2
1114	CID-MSn	2
1115	HMS	1
1116	CID-MSn	2
1117	CID-MSn	2
1118	CID-MSn	2
1119	CID-MSn	2
1120	CID-MSn	2
1121	CID-MSn	2
1122	CID-MSn	2
1123	CID-MSn	2
1124	CID-MSn	2
