ScanNumber	ScanTime	ScanType
596	0.1554887	2
597	0.1557981	1
598	0.1577524	2
599	0.1579771	2
600	0.158202	2
601	0.1584267	2
602	0.1586543	2
603	0.1588791	2
604	0.1590788	2
605	0.1592788	2
606	0.1595037	2
607	0.1597284	2
608	0.1599532	2
609	0.1601611	2
610	0.1603857	2
611	0.1605855	2
612	0.1608104	2
613	0.1610137	2
614	0.1612388	2
615	0.1614635	2
616	0.1616635	2
617	0.1618635	2
618	0.1620687	2
619	0.1622685	2
620	0.1624683	2
621	0.1626931	2
622	0.1629225	2
623	0.1631224	2
624	0.1633472	2
625	0.1635472	2
626	0.1637471	2
627	0.1639719	2
628	0.1641719	2
629	0.1643719	2
630	0.1645965	2
631	0.1648225	2
632	0.1650472	2
633	0.1652947	2
634	0.1655196	2
635	0.1657444	2
636	0.1659692	2
637	0.1661945	2
638	0.1665036	1
639	0.1684576	2
640	0.1686828	2
641	0.1688861	2
642	0.1690863	2
643	0.1692861	2
644	0.1695111	2
645	0.1697393	2
646	0.1699395	2
647	0.1701643	2
648	0.1704116	2
649	0.1706364	2
650	0.1708624	2
651	0.1710623	2
652	0.1712869	2
653	0.171512	2
654	0.1717371	2
655	0.1719371	2
656	0.1721653	2
657	0.1724072	2
658	0.1726321	2
659	0.1728571	2
660	0.1730589	2
661	0.1732613	2
662	0.1734615	2
663	0.1736688	2
664	0.1738687	2
665	0.1740685	2
666	0.1742932	2
667	0.1744933	2
668	0.1746937	2
669	0.1748935	2
670	0.1750935	2
671	0.1753185	2
672	0.1755181	2
673	0.1757181	2
674	0.1759431	2
675	0.1761429	2
676	0.1763427	2
677	0.1765427	2
678	0.1767504	2
679	0.1770584	1
680	0.1790128	2
681	0.1792379	2
682	0.1794631	2
683	0.1796881	2
684	0.1799171	2
685	0.1801487	2
686	0.180356	2
687	0.1805573	2
688	0.1807821	2
689	0.1810072	2
690	0.181232	2
691	0.1814319	2
692	0.1816573	2
693	0.181864	2
694	0.1820887	2
695	0.1822891	2
696	0.1825141	2
697	0.1827392	2
698	0.1829395	2
699	0.1831397	2
700	0.1833491	2
701	0.1835487	2
702	0.1837487	2
703	0.1839736	2
704	0.1841984	2
705	0.1843981	2
706	0.1846232	2
707	0.1848231	2
708	0.1850304	2
709	0.1852551	2
710	0.1854548	2
711	0.1856569	2
712	0.1858864	2
713	0.1861167	2
714	0.1863415	2
715	0.1865667	2
716	0.1867917	2
717	0.1871011	1
718	0.1890553	2
719	0.1892821	2
720	0.1895108	2
721	0.1897108	2
722	0.1899359	2
723	0.1901356	2
724	0.1903357	2
725	0.1905355	2
726	0.1907828	2
727	0.1910083	2
728	0.1912159	2
729	0.1914409	2
730	0.1916663	2
731	0.1918912	2
732	0.1921164	2
733	0.1923163	2
734	0.1925411	2
735	0.1927659	2
736	0.1929921	2
737	0.1931924	2
738	0.1934397	2
739	0.1936812	2
740	0.1939059	2
741	0.1941325	2
742	0.1943325	2
743	0.1945324	2
744	0.1947323	2
745	0.1949324	2
746	0.1951321	2
747	0.1953321	2
748	0.1955604	2
749	0.1957603	2
750	0.1959605	2
751	0.1961605	2
752	0.1963609	2
753	0.1966088	2
754	0.1968089	2
755	0.1970079	2
756	0.1972328	2
757	0.1974327	2
758	0.197742	1
759	0.1996963	2
760	0.199896	2
761	0.200096	2
762	0.200296	2
763	0.2005211	2
764	0.200746	2
765	0.2009708	2
766	0.2011957	2
767	0.2014204	2
768	0.2016277	2
769	0.2018273	2
770	0.202054	2
771	0.2022787	2
772	0.2025035	2
773	0.2027035	2
774	0.2029317	2
775	0.2031316	2
776	0.2033575	2
777	0.2035573	2
778	0.2037823	2
779	0.2040071	2
780	0.2042072	2
781	0.2044073	2
782	0.2046073	2
783	0.2048147	2
784	0.2050149	2
785	0.2052399	2
786	0.2054676	2
787	0.2056675	2
788	0.2058944	2
789	0.2060944	2
790	0.2062941	2
791	0.2065192	2
792	0.2067189	2
793	0.2069191	2
794	0.2071437	2
795	0.2073685	2
796	0.2075933	2
797	0.2078183	2
798	0.2080429	2
799	0.2083519	1
800	0.2103065	2
801	0.2105312	2
802	0.2107563	2
803	0.2109563	2
804	0.2111817	2
805	0.2113816	2
806	0.2115925	2
807	0.2117924	2
808	0.2120205	2
809	0.2122504	2
810	0.2124516	2
811	0.2126767	2
812	0.2129015	2
813	0.2131492	2
814	0.2133739	2
815	0.2135736	2
816	0.213802	2
817	0.2140268	2
818	0.2142531	2
819	0.2144527	2
820	0.2146785	2
821	0.2149203	2
822	0.2151459	2
823	0.2153708	2
824	0.2155705	2
825	0.2157704	2
826	0.2159705	2
827	0.2161703	2
828	0.2163776	2
829	0.2165812	2
830	0.2168059	2
831	0.2170057	2
832	0.2172056	2
833	0.2174055	2
834	0.2176055	2
835	0.2178304	2
836	0.2180301	2
837	0.2183392	1
838	0.2202932	2
839	0.2205183	2
840	0.2207197	2
841	0.2209196	2
842	0.2211199	2
843	0.2213196	2
844	0.2215197	2
845	0.2217485	2
846	0.2219744	2
847	0.2222217	2
848	0.2224469	2
849	0.2226717	2
850	0.2228716	2
851	0.2230715	2
852	0.2232963	2
853	0.2235212	2
854	0.2237685	2
855	0.2239687	2
856	0.2241937	2
857	0.2243937	2
858	0.2246184	2
859	0.2248181	2
860	0.2250428	2
861	0.2252677	2
862	0.2254673	2
863	0.2256676	2
864	0.2258693	2
865	0.2260695	2
866	0.2262768	2
867	0.2265015	2
868	0.2267263	2
869	0.2269273	2
870	0.2271747	2
871	0.2273748	2
872	0.2275748	2
873	0.2277995	2
874	0.2279992	2
875	0.2283081	1
876	0.2302624	2
877	0.2304871	2
878	0.2307119	2
879	0.2309367	2
880	0.2311616	2
881	0.2313863	2
882	0.2316111	2
883	0.2318359	2
884	0.2320608	2
885	0.2322605	2
886	0.2325079	2
887	0.2327076	2
888	0.2329087	2
889	0.2331083	2
890	0.2333333	2
891	0.2335587	2
892	0.2337585	2
893	0.2339833	2
894	0.2342081	2
895	0.2344339	2
896	0.2346588	2
897	0.2348585	2
898	0.2350835	2
899	0.2353083	2
900	0.2355332	2
901	0.2357329	2
902	0.2359807	2
903	0.2362221	2
904	0.2364479	2
905	0.2366727	2
906	0.2368724	2
907	0.2370724	2
908	0.2372721	2
909	0.2374729	2
910	0.2376732	2
911	0.2378731	2
912	0.238098	2
913	0.2382979	2
914	0.2384977	2
915	0.2386981	2
916	0.2390072	1
917	0.2409613	2
918	0.2411863	2
919	0.241386	2
920	0.2415863	2
921	0.2418113	2
922	0.2420117	2
923	0.2422115	2
924	0.2424192	2
925	0.2426201	2
926	0.2428203	2
927	0.2430451	2
928	0.2432716	2
929	0.2434961	2
930	0.2437212	2
931	0.2439463	2
932	0.2441461	2
933	0.2443535	2
934	0.2445787	2
935	0.2448035	2
936	0.2450283	2
937	0.2452281	2
938	0.2454529	2
939	0.2456529	2
940	0.2458847	2
941	0.2460845	2
942	0.2463139	2
943	0.2465411	2
944	0.2467409	2
945	0.2469412	2
946	0.2471417	2
947	0.2473415	2
948	0.2475487	2
949	0.2477739	2
950	0.2479989	2
951	0.2481987	2
952	0.2484233	2
953	0.2486235	2
954	0.2488237	2
955	0.2490487	2
956	0.2492485	2
957	0.2495575	1
958	0.2514785	2
959	0.2517035	2
960	0.2519281	2
961	0.2521531	2
962	0.2523779	2
963	0.2526027	2
964	0.2528272	2
965	0.2530523	2
966	0.2532997	2
967	0.2534996	2
968	0.2537244	2
969	0.2539247	2
970	0.2541263	2
971	0.2543263	2
972	0.2545511	2
973	0.2547845	2
974	0.254988	2
975	0.2552167	2
976	0.2554413	2
977	0.255666	2
978	0.255914	2
979	0.2561139	2
980	0.2563391	2
981	0.256564	2
982	0.2567888	2
983	0.2569884	2
984	0.2572133	2
985	0.257456	2
986	0.2576807	2
987	0.2579055	2
988	0.2581053	2
989	0.2583051	2
990	0.2585049	2
991	0.2587051	2
992	0.2589051	2
993	0.2591124	2
994	0.2593369	2
995	0.2595371	2
996	0.2597368	2
997	0.2599364	2
998	0.2602469	1
999	0.2622009	2
1000	0.2624263	2
1001	0.2626261	2
1002	0.2628259	2
1003	0.2630524	2
1004	0.2632523	2
1005	0.2634521	2
1006	0.263652	2
1007	0.263852	2
1008	0.2640595	2
1009	0.2642859	2
1010	0.2645109	2
1011	0.2647356	2
1012	0.2649607	2
1013	0.2651857	2
1014	0.2653856	2
1015	0.2655855	2
1016	0.2658123	2
1017	0.26604	2
1018	0.2662652	2
1019	0.2664652	2
1020	0.2666899	2
1021	0.2668897	2
1022	0.2671147	2
1023	0.267322	2
1024	0.2675471	2
1025	0.2677721	2
1026	0.2679723	2
1027	0.2681724	2
1028	0.2683721	2
1029	0.2685721	2
1030	0.268772	2
1031	0.2689971	2
1032	0.2692217	2
1033	0.2694215	2
1034	0.2696464	2
1035	0.2698465	2
1036	0.2700461	2
1037	0.2702711	2
1038	0.2704709	2
1039	0.2707843	1
1040	0.2727384	2
1041	0.2729635	2
1042	0.2731883	2
1043	0.2734356	2
1044	0.2736603	2
1045	0.2738853	2
1046	0.2741101	2
1047	0.2743349	2
1048	0.2745615	2
1049	0.2747616	2
1050	0.2749865	2
1051	0.2751864	2
1052	0.2753865	2
1053	0.2755939	2
1054	0.2758191	2
1055	0.2760441	2
1056	0.2762443	2
1057	0.2764691	2
1058	0.2766937	2
1059	0.2769185	2
1060	0.2771437	2
1061	0.2773512	2
1062	0.2775767	2
1063	0.2778017	2
1064	0.2780265	2
1065	0.2782264	2
